#{"t_start": 1775368365.7121854, "env_id": "None"}
r,l,t
1127.165653,330,992.271159
1139.867014,333,993.190465
1137.13779,332,994.136097
1119.570757,331,995.110567
1128.184497,330,996.012875
1118.869179,330,998.789256
1132.79246,333,999.676835
1137.110714,331,1000.673275
1124.661798,327,1001.579608
1133.420201,332,1002.468401
1134.114771,331,1003.39526
1122.335399,331,1006.154002
1122.233158,330,1007.042982
1142.941055,333,1007.974264
1126.446381,330,1008.858959
1122.207382,329,1009.738892
1125.551528,330,1010.669559
1139.446895,333,1013.157764
1131.310846,331,1014.002561
1143.858802,334,1014.82228
1136.243709,333,1015.751354
1142.537989,335,1016.616896
1115.639761,329,1017.493879
1131.727701,331,1020.174228
1142.050946,333,1021.100745
1133.659873,333,1021.962408
1129.592652,330,1022.833052
1137.591048,332,1023.724198
1137.032876,332,1024.690188
1123.427194,330,1027.678768
1133.996704,333,1028.727005
1130.222836,331,1029.626232
1147.199944,334,1030.499914
1132.76971,330,1031.438301
1132.013448,330,1032.360194
1125.726668,332,1033.250092
1140.144926,333,1035.93256
1127.089803,332,1036.801826
1146.061555,334,1037.671297
1132.802256,330,1038.599888
1135.21719,331,1039.43562
1137.903253,332,1040.280389
1128.351366,330,1042.818493
1143.761845,333,1043.681316
1132.337977,331,1044.527353
1136.586979,331,1045.344321
1141.583465,334,1046.212025
1151.994169,333,1047.070371
1129.310566,331,1049.958299
1135.938481,330,1051.125371
1138.141854,332,1052.291896
1143.325009,332,1053.424309
1140.278854,333,1054.549109
1140.990113,333,1055.481706
1138.542963,332,1058.332747
1138.762109,332,1059.306579
1151.37131,335,1060.196161
1147.935296,334,1061.146275
1133.528099,332,1062.048706
1123.36504,331,1063.107427
1139.569921,332,1066.246225
1136.561108,332,1067.237227
1132.596593,331,1068.29824
1131.473249,332,1069.242863
1136.223298,333,1070.122269
1151.416251,334,1071.0483
1140.265538,332,1073.806535
1144.759847,333,1074.687871
1141.441911,333,1075.796346
1155.560865,336,1076.700338
1149.17925,333,1077.604844
107.645135,346,1078.852036
1143.334729,333,1079.730556
1138.75091,331,1082.384107
1136.872011,331,1083.262927
1139.316037,334,1084.154467
1121.746557,329,1085.040674
1145.563508,332,1085.905698
91.266354,352,1087.107532
1141.127805,333,1089.871967
1132.345985,335,1090.842799
1133.901701,331,1091.801389
1142.17265,335,1092.81959
1152.457334,333,1093.742095
1137.616536,332,1094.646005
1140.770839,334,1097.350734
1139.406627,332,1098.262228
1151.164416,334,1099.16762
1151.36813,333,1100.145193
1141.725901,333,1101.158857
1140.003104,332,1102.148888
1145.004848,333,1104.988652
1132.981382,333,1105.93151
1140.966932,335,1106.866298
1121.427422,333,1107.784888
1127.219583,332,1108.650974
1123.538459,328,1109.531577
90.056354,347,1112.591261
1129.426324,331,1113.516465
